folder,pdf_name,pdf_path,iccd_code,csv_index,id_scheda_originale,png_name,png_path,status
trentino/curon02,curon02.pdf,0.original_foto_schede/trentino/curon02/curon02.pdf,0400619553,3728,3e6cc735-51b1-46aa-825e-56bbaa69f5f0,3e6cc735-51b1-46aa-825e-56bbaa69f5f0.png,1.output_png_schede/3e6cc735-51b1-46aa-825e-56bbaa69f5f0.png,exported
trentino/funes01,funes01.pdf,0.original_foto_schede/trentino/funes01/funes01.pdf,0400619055,25204,a6d7393d-e059-4512-ae62-704de8090d43,a6d7393d-e059-4512-ae62-704de8090d43.png,1.output_png_schede/a6d7393d-e059-4512-ae62-704de8090d43.png,exported
trentino/Gais01,gais.pdf,0.original_foto_schede/trentino/Gais01/gais.pdf,0400619120,410,863fca31-1150-42c0-bd79-6927f5eca859,863fca31-1150-42c0-bd79-6927f5eca859.png,1.output_png_schede/863fca31-1150-42c0-bd79-6927f5eca859.png,exported
trentino/maso01,maso01.pdf,0.original_foto_schede/trentino/maso01/maso01.pdf,0400619517,21835,3353da4e-1c65-4dbc-b189-1b6cb6f3383e,3353da4e-1c65-4dbc-b189-1b6cb6f3383e.png,1.output_png_schede/3353da4e-1c65-4dbc-b189-1b6cb6f3383e.png,exported
trentino/maso02,maso02.pdf,0.original_foto_schede/trentino/maso02/maso02.pdf,0400619166,657,c7417bfe-5eb8-4265-b439-7e3f55afee77,c7417bfe-5eb8-4265-b439-7e3f55afee77.png,1.output_png_schede/c7417bfe-5eb8-4265-b439-7e3f55afee77.png,exported
trentino/palu01,palu.pdf,0.original_foto_schede/trentino/palu01/palu.pdf,0400620662,35454,83d96095-6b04-410c-903c-79b635d4a315,83d96095-6b04-410c-903c-79b635d4a315.png,1.output_png_schede/83d96095-6b04-410c-903c-79b635d4a315.png,exported
umbria/1000228587_Collazzone_EDANN_scala seterna_S.Donato1,1000228587_Collazzone_EDANN_scala seterna_S.Donato1.pdf,0.original_foto_schede/umbria/1000228587_Collazzone_EDANN_scala seterna_S.Donato1/1000228587_Collazzone_EDANN_scala seterna_S.Donato1.pdf,1000228587,2193,515ccbf6-c86a-481d-b3f1-5878e1d56f8e,515ccbf6-c86a-481d-b3f1-5878e1d56f8e.png,1.output_png_schede/515ccbf6-c86a-481d-b3f1-5878e1d56f8e.png,exported
umbria/1000228590_Collazzone_EDANN_scala esterna_coperta_Ponticelli,1000228590_Collazzone_EDANN_scala esterna_coperta_Ponticelli.pdf,0.original_foto_schede/umbria/1000228590_Collazzone_EDANN_scala esterna_coperta_Ponticelli/1000228590_Collazzone_EDANN_scala esterna_coperta_Ponticelli.pdf,1000228590,2196,343eb433-0359-4ee3-8774-80d722bc5a0a,343eb433-0359-4ee3-8774-80d722bc5a0a.png,1.output_png_schede/343eb433-0359-4ee3-8774-80d722bc5a0a.png,exported
umbria/1000228595_Giano dell_Umbria_EDSIN_casale_S.Felice,1000228595_Giano dell_Umbria_EDSIN_casale_S.Felice.pdf,0.original_foto_schede/umbria/1000228595_Giano dell_Umbria_EDSIN_casale_S.Felice/1000228595_Giano dell_Umbria_EDSIN_casale_S.Felice.pdf,1000228595,2199,df12cee0-08ee-4e54-8704-c11e2b0650be,df12cee0-08ee-4e54-8704-c11e2b0650be.png,1.output_png_schede/df12cee0-08ee-4e54-8704-c11e2b0650be.png,exported
umbria/1000228599_Giano dell_Umbria_EDANN_scala esterna testata_Baiollo,1000228599_Giano dell_Umbria_EDANN_scala esterna_Baiollo.pdf,0.original_foto_schede/umbria/1000228599_Giano dell_Umbria_EDANN_scala esterna testata_Baiollo/1000228599_Giano dell_Umbria_EDANN_scala esterna_Baiollo.pdf,,,,,,no_matching_iccd_code
